City,Country,PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,Wind Speed,Air_Quality,Air_Quality_Category,Year,Month,Day,Monthly_Avg_Temperature,Monthly_Avg_Wind_Speed
Los Angeles,USA,149.74,50.31,31.21,28.64,8.16,19.81,2.64,18.87,16.16,199.65922023182299,Unhealthy,2023,7,15,13.6,11.1
Toronto,Canada,72.01,191.78,95.75,21.45,2.42,181.34,10.24,42.57,12.95,159.5246575342466,Unhealthy,2023,9,28,16.8,11.04
New York,USA,62.34,38.48,57.36,32.1,2.58,154.98,37.45,48.65,17.61,154.53171759747102,Unhealthy,2023,10,12,14.43,10.45
Bangkok,Thailand,146.7,19.19,49.25,49.01,8.91,107.53,2.24,73.29,3.29,198.0895679662803,Unhealthy,2023,3,13,13.32,10.64
Madrid,Spain,29.11,43.8,58.04,4.54,5.25,137.61,18.7,72.8,3.03,86.77210300429185,Moderate,2023,5,26,11.02,9.85
Mexico City,Mexico,51.47,137.97,97.83,3.45,7.12,194.18,-3.68,43.75,13.95,140.32311557788944,Poor,2023,8,18,11.58,10.47
Dubai,UAE,115.42,112.95,32.17,25.88,1.52,59.51,-0.28,31.98,9.91,181.9386722866175,Unhealthy,2023,11,3,13.53,10.59
Tokyo,Japan,62.02,110.1,81.69,38.72,7.55,93.17,16.39,53.11,19.18,154.36649104320338,Unhealthy,2023,12,18,11.62,10.03
Rio de Janeiro,Brazil,107.32,60.56,54.25,9.31,5.85,53.98,-9.3,95.38,16.97,177.7563751317176,Unhealthy,2023,3,25,18.14,12.15
Beijing,China,109.42,144.32,88.74,36.56,2.02,188.95,3.99,72.9,2.0,178.84067439409904,Unhealthy,2023,6,12,11.75,10.26
London,UK,67.97,114.57,11.57,34.89,1.6,46.13,2.36,94.86,3.01,157.4386722866175,Unhealthy,2023,10,27,12.18,9.62
Johannesburg,South Africa,35.41,134.39,6.99,5.4,0.77,134.92,28.65,49.11,7.49,90.2940404040404,Moderate,2023,10,9,12.9,9.66
Mumbai,India,53.54,101.44,96.54,21.05,3.31,187.25,10.27,95.18,3.96,145.42010050251258,Poor,2023,2,15,15.35,8.37
Mexico City,Mexico,117.95,93.33,24.62,5.84,7.3,161.08,11.33,16.16,6.77,183.24499473129612,Unhealthy,2023,4,11,14.16,9.8
Toronto,Canada,24.11,168.42,57.92,23.16,8.35,178.71,1.37,70.73,0.56,107.64222222222222,Poor,2023,12,3,19.53,9.34
Berlin,Germany,138.71,29.36,56.09,32.84,9.67,106.91,11.45,67.73,14.08,193.96406743940992,Unhealthy,2023,6,12,15.69,9.7
Paris,France,11.79,147.53,18.63,25.38,5.34,31.37,-8.57,98.65,16.23,96.79767676767676,Moderate,2023,10,24,15.27,9.07
Cairo,Egypt,18.33,114.51,35.85,22.13,9.76,134.35,22.23,45.8,8.86,105.39310344827585,Poor,2023,9,7,12.59,9.66
Johannesburg,South Africa,135.47,105.67,10.03,6.66,5.58,70.22,27.81,95.91,17.88,192.29114857744995,Unhealthy,2023,4,6,14.13,10.18
Bangkok,Thailand,146.96,199.41,58.71,9.74,5.75,45.52,6.57,35.93,17.16,198.22381454162277,Unhealthy,2023,9,10,12.83,10.64
Rio de Janeiro,Brazil,40.46,44.61,62.05,27.29,1.59,110.95,16.05,10.7,1.73,113.21306532663317,Poor,2023,2,13,14.93,10.65
Rio de Janeiro,Brazil,85.89,100.87,45.18,20.98,0.86,157.35,33.0,17.35,15.49,166.6913593256059,Unhealthy,2023,9,19,18.36,10.61
Rio de Janeiro,Brazil,69.11,66.95,93.83,9.47,7.44,85.1,-0.95,51.4,13.14,158.027291886196,Unhealthy,2023,3,12,18.14,12.15
Moscow,Russia,83.43,147.22,69.61,1.96,5.25,62.63,24.1,24.44,12.21,165.42118018967335,Unhealthy,2023,10,28,14.92,9.81
Mumbai,India,89.49,22.58,77.46,46.77,8.69,37.15,-2.42,61.29,5.27,168.55015806111697,Unhealthy,2023,10,18,13.68,10.97
Mexico City,Mexico,128.8,78.22,82.96,33.73,7.26,130.11,7.37,60.6,1.18,188.84720758693362,Unhealthy,2023,4,14,14.16,9.8
Paris,France,74.27,22.48,28.34,5.19,4.51,85.87,25.05,12.73,18.83,160.69157007376185,Unhealthy,2023,11,25,12.84,10.48
New York,USA,71.19,152.28,59.61,38.15,8.53,95.3,33.59,43.37,13.96,159.10126448893573,Unhealthy,2023,3,11,14.13,11.42
Madrid,Spain,138.01,144.76,43.96,34.38,6.38,143.06,29.42,83.88,11.12,193.6026343519494,Unhealthy,2023,3,24,14.38,10.02
Istanbul,Turkey,141.07,180.87,64.77,36.89,5.19,99.49,20.56,59.9,13.73,195.18261327713384,Unhealthy,2023,3,26,14.84,10.52
Istanbul,Turkey,130.25,146.3,69.33,10.69,6.42,161.41,37.59,41.41,4.12,189.5958904109589,Unhealthy,2023,6,19,19.22,9.91
Cairo,Egypt,65.66,193.75,82.38,28.86,0.57,179.54,10.24,56.47,19.62,156.2459430979979,Unhealthy,2023,6,18,14.84,9.89
Sydney,Australia,100.49,158.5,64.92,5.32,3.17,114.58,3.86,98.74,4.98,174.22982086406745,Unhealthy,2023,12,19,12.67,10.42
Istanbul,Turkey,20.37,159.92,30.59,45.4,4.91,72.99,39.57,94.78,16.01,103.4351515151515,Poor,2023,9,1,15.25,11.16
Cairo,Egypt,119.63,80.06,77.28,32.73,0.64,11.24,26.71,53.75,12.07,184.11243414120128,Unhealthy,2023,7,14,14.35,9.43
Los Angeles,USA,148.05,84.57,97.71,11.14,5.82,194.72,27.69,10.62,7.55,198.78661749209695,Unhealthy,2023,4,24,14.11,9.77
Toronto,Canada,103.62,190.24,12.28,36.23,5.55,166.62,4.38,28.07,9.65,175.8459430979979,Unhealthy,2023,12,24,19.53,9.34
Moscow,Russia,58.66,14.66,72.78,15.02,0.56,56.18,33.71,67.48,9.22,152.63161222339303,Unhealthy,2023,1,21,14.36,10.98
Mumbai,India,37.66,122.96,60.73,24.27,2.71,188.61,28.2,29.19,18.52,106.31859296482412,Poor,2023,5,22,17.26,9.48
Paris,France,72.8,63.12,81.99,36.2,2.15,14.26,23.55,74.17,10.85,159.93256059009482,Unhealthy,2023,6,8,13.47,9.37
Mumbai,India,77.45,151.21,14.56,5.74,6.17,147.87,-7.47,52.02,8.94,162.33350895679663,Unhealthy,2023,8,23,14.73,9.18
Mexico City,Mexico,146.72,11.9,40.6,48.84,9.17,11.93,20.65,79.13,6.16,198.09989462592202,Unhealthy,2023,5,1,14.2,11.91
Rio de Janeiro,Brazil,32.33,105.66,24.29,19.0,3.99,99.94,37.9,86.03,4.22,93.54377682403432,Moderate,2023,7,2,19.26,10.85
New York,USA,21.8,71.51,74.7,11.27,1.75,76.6,39.05,34.01,11.81,73.05000000000001,Moderate,2023,6,6,15.78,9.84
Rio de Janeiro,Brazil,87.07,85.19,88.69,35.81,6.08,182.3,32.33,99.66,2.77,167.30063224446786,Unhealthy,2023,10,6,19.62,9.68
Cairo,Egypt,55.44,191.06,40.02,18.4,3.37,67.35,-9.62,60.97,5.11,118.84787878787878,Poor,2023,12,27,15.75,9.44
Mumbai,India,144.95,158.4,90.01,1.89,1.8,73.86,38.4,48.53,11.91,197.18598524762908,Unhealthy,2023,6,26,14.76,10.34
Tokyo,Japan,9.9,65.66,23.25,42.52,5.02,176.46,22.63,67.51,11.56,59.191794871794876,Moderate,2023,5,28,15.57,10.61
Bangkok,Thailand,63.9,119.19,27.63,44.65,8.45,24.76,13.46,53.64,9.19,155.33719704952583,Unhealthy,2023,10,10,12.07,9.94
Sydney,Australia,44.14,173.54,55.14,11.35,7.25,27.23,22.05,46.55,1.8,122.27437185929648,Poor,2023,9,2,10.87,10.39
Cairo,Egypt,106.05,34.58,50.65,26.87,0.68,56.14,7.02,33.74,10.07,177.10063224446787,Unhealthy,2023,10,20,15.61,9.87
Los Angeles,USA,142.44,78.09,39.89,48.76,2.77,78.37,8.84,60.08,14.92,195.8899894625922,Unhealthy,2023,5,24,14.24,9.89
Paris,France,115.9,192.59,40.41,39.68,4.11,88.56,9.39,54.5,9.92,182.18651211801898,Unhealthy,2023,8,12,15.19,8.73
Mexico City,Mexico,5.49,113.31,68.29,13.41,8.85,187.1,33.67,62.82,14.94,94.5,Moderate,2023,5,10,14.2,11.91
Paris,France,20.02,148.55,79.87,5.58,0.74,31.16,-3.18,39.03,8.06,97.30252525252526,Moderate,2023,2,11,15.58,10.26
Mumbai,India,114.16,73.74,25.42,19.3,0.19,124.68,32.84,27.76,16.7,181.28809272918863,Unhealthy,2023,6,10,14.76,10.34
Paris,France,123.26,85.23,39.19,8.13,6.68,142.73,8.29,37.2,4.2,185.98672286617492,Unhealthy,2023,3,21,15.91,10.54
Los Angeles,USA,137.18,59.78,29.19,49.83,8.61,29.87,24.54,52.16,13.81,193.1740779768177,Unhealthy,2023,10,2,14.02,10.27
Istanbul,Turkey,5.66,54.26,54.62,32.82,5.78,185.95,37.41,37.95,19.74,63.800000000000004,Moderate,2023,3,18,14.84,10.52
Rio de Janeiro,Brazil,106.04,147.05,27.88,2.34,2.46,84.55,5.6,21.8,11.62,177.095468914647,Unhealthy,2023,9,11,18.36,10.61
Toronto,Canada,82.5,45.4,46.54,45.4,0.63,43.62,36.51,99.24,12.5,164.940990516333,Unhealthy,2023,10,16,14.88,11.68
Seoul,South Korea,63.6,63.1,29.12,7.0,2.99,199.32,-7.2,39.82,10.76,155.18229715489989,Unhealthy,2023,8,6,14.73,9.89
Bangkok,Thailand,50.14,74.98,68.73,45.33,8.96,109.38,22.42,49.69,17.67,137.04824120603016,Poor,2023,5,18,16.55,9.66
Berlin,Germany,88.0,69.23,83.63,36.93,2.29,85.15,39.02,64.91,2.02,167.78082191780823,Unhealthy,2023,6,24,15.69,9.7
Madrid,Spain,27.86,70.02,64.94,30.54,6.32,27.87,6.87,37.26,2.56,84.14334763948499,Moderate,2023,10,15,18.8,9.47
Madrid,Spain,47.84,159.0,52.49,39.71,4.07,176.78,-9.47,93.63,19.84,131.38492462311558,Poor,2023,6,27,17.11,8.79
Sydney,Australia,84.92,169.36,86.84,14.75,3.89,121.46,24.36,99.58,16.67,166.1905163329821,Unhealthy,2023,3,15,13.57,12.06
Rio de Janeiro,Brazil,66.75,50.87,33.48,17.33,3.84,173.76,39.67,66.72,7.65,156.80874604847207,Unhealthy,2023,10,6,19.62,9.68
Rio de Janeiro,Brazil,129.75,26.93,72.63,16.66,6.64,137.63,0.6,55.79,1.13,189.3377239199157,Unhealthy,2023,9,9,18.36,10.61
London,UK,143.09,175.85,44.14,20.59,3.92,160.2,-0.47,66.37,1.31,196.22560590094838,Unhealthy,2023,2,17,14.65,10.39
Bangkok,Thailand,91.48,146.71,73.79,17.95,3.3,66.59,37.89,70.78,10.96,169.57766069546892,Unhealthy,2023,8,26,17.27,11.24
Sydney,Australia,84.35,74.41,41.19,5.29,5.17,155.78,26.49,87.74,11.58,165.89620653319284,Unhealthy,2023,1,8,14.53,9.98
Mexico City,Mexico,145.71,24.21,29.87,39.23,9.41,52.36,20.31,65.57,19.24,197.57839831401475,Unhealthy,2023,6,2,13.43,9.45
Cairo,Egypt,15.49,166.6,16.59,27.53,0.47,53.49,25.68,23.47,13.07,106.74141414141414,Poor,2023,1,11,14.81,9.3
London,UK,140.7,109.91,37.91,40.65,2.79,192.33,37.79,10.6,8.44,194.99157007376186,Unhealthy,2023,9,12,18.45,10.68
London,UK,143.68,164.82,51.3,14.49,1.81,181.42,16.03,86.26,2.3,196.53024236037936,Unhealthy,2023,5,1,16.1,10.59
Istanbul,Turkey,41.93,96.3,66.84,2.82,4.23,180.66,35.36,50.23,15.27,116.83266331658291,Poor,2023,11,27,16.73,11.19
Bangkok,Thailand,97.61,22.7,14.7,45.45,3.59,70.76,23.04,14.98,8.64,172.74278187565858,Unhealthy,2023,11,2,18.46,10.36
Rio de Janeiro,Brazil,29.09,93.21,7.69,17.97,3.75,80.85,29.58,69.71,12.13,86.73004291845494,Moderate,2023,8,6,16.77,9.36
Rio de Janeiro,Brazil,16.76,102.65,65.51,48.63,3.71,14.45,1.21,23.94,15.34,74.58434343434344,Moderate,2023,8,10,16.77,9.36
New York,USA,134.05,182.71,19.94,38.66,1.06,83.26,34.37,64.41,16.65,191.55795574288726,Unhealthy,2023,6,16,15.78,9.84
Beijing,China,50.25,92.07,40.15,15.55,2.74,192.83,24.24,28.39,4.15,137.31909547738695,Poor,2023,5,25,14.45,9.64
Mexico City,Mexico,117.64,186.7,49.27,33.49,4.01,36.93,-5.73,58.29,15.07,183.08493150684933,Unhealthy,2023,8,19,11.58,10.47
Mexico City,Mexico,61.51,60.47,42.52,30.08,5.99,134.57,39.0,11.76,7.1,154.1031612223393,Unhealthy,2023,4,27,14.16,9.8
Toronto,Canada,42.79,186.5,34.72,32.75,4.05,165.8,15.76,19.82,16.22,118.9502512562814,Poor,2023,10,28,14.88,11.68
Dubai,UAE,99.67,182.25,15.05,30.31,0.71,104.82,17.65,72.44,6.78,173.8064278187566,Unhealthy,2023,12,10,15.24,10.32
Bangkok,Thailand,43.62,96.22,91.76,46.28,0.62,135.4,35.98,51.28,11.73,120.99396984924623,Poor,2023,1,23,15.08,10.9
Beijing,China,104.18,150.19,44.32,12.11,4.76,162.48,13.06,92.3,18.97,176.13508956796628,Unhealthy,2023,12,17,13.4,11.58
Madrid,Spain,132.13,125.22,51.69,29.84,3.87,160.86,-8.56,51.01,3.96,190.56659641728135,Unhealthy,2023,7,17,13.26,10.9
Berlin,Germany,122.71,110.47,78.72,45.35,2.38,89.7,30.95,30.06,10.06,185.7027397260274,Unhealthy,2023,9,9,14.68,11.83
Cairo,Egypt,82.76,11.97,45.12,21.02,2.78,192.53,-8.58,40.44,16.83,165.07523709167546,Unhealthy,2023,11,21,15.99,9.71
Tokyo,Japan,116.55,15.85,8.0,48.47,3.81,106.48,12.08,47.46,2.04,182.52212855637512,Unhealthy,2023,3,19,12.58,9.96
Mumbai,India,76.49,157.45,33.55,17.71,2.43,124.68,1.07,54.9,0.72,161.83782929399368,Unhealthy,2023,5,22,17.26,9.48
Bangkok,Thailand,148.44,193.88,24.88,7.26,9.12,10.37,36.0,47.83,11.48,198.98798735511065,Unhealthy,2023,8,12,17.27,11.24
Bangkok,Thailand,7.17,67.57,40.12,24.43,0.56,145.28,5.5,73.42,5.22,57.22151515151515,Moderate,2023,12,9,14.64,11.4
Los Angeles,USA,58.13,81.33,31.67,8.3,1.95,167.79,0.32,86.18,4.74,152.35795574288724,Unhealthy,2023,12,28,17.73,9.8
Johannesburg,South Africa,81.57,125.21,27.25,10.14,5.23,133.79,19.49,84.25,18.29,164.46080084299263,Unhealthy,2023,5,26,15.9,10.71
Los Angeles,USA,106.1,192.72,87.56,30.66,9.42,84.44,9.32,34.94,2.89,177.1264488935722,Unhealthy,2023,2,28,13.46,9.7
Cairo,Egypt,113.13,196.42,75.01,27.82,1.86,135.44,30.27,87.22,8.1,180.75626975763961,Unhealthy,2023,9,4,12.59,9.66
Dubai,UAE,36.24,57.46,21.67,49.47,7.87,159.22,-8.97,59.82,18.5,102.82211055276382,Poor,2023,2,13,14.52,9.65
Bangkok,Thailand,109.45,135.77,89.51,49.18,2.14,40.67,6.52,77.24,17.63,178.85616438356163,Unhealthy,2023,3,27,13.32,10.64
New York,USA,87.36,75.87,22.89,23.88,4.58,98.42,23.67,55.59,9.74,167.45036880927293,Unhealthy,2023,6,21,15.78,9.84
Bangkok,Thailand,24.85,27.35,27.68,44.03,7.68,33.61,26.68,76.15,9.0,82.8,Moderate,2023,6,27,15.75,8.07
Paris,France,101.21,70.07,43.33,28.93,4.19,20.25,-8.26,72.42,6.54,174.60158061116965,Unhealthy,2023,9,3,11.91,9.29
New York,USA,27.18,26.47,66.21,45.15,5.42,139.81,4.46,30.05,1.57,82.71330472103006,Moderate,2023,8,24,19.02,9.37
Beijing,China,18.23,85.36,59.85,46.99,8.92,121.09,3.44,40.15,18.89,95.2,Moderate,2023,10,9,10.72,11.15
Toronto,Canada,76.83,99.21,70.75,15.22,5.27,185.11,23.05,48.47,9.14,162.01338250790306,Unhealthy,2023,6,21,16.31,10.24
Dubai,UAE,103.53,86.55,32.2,28.73,5.87,12.05,-8.35,15.23,13.42,175.7994731296101,Unhealthy,2023,4,27,13.2,11.62
Madrid,Spain,142.21,73.79,19.41,2.3,5.31,49.86,1.93,35.25,15.1,195.77123287671233,Unhealthy,2023,6,21,17.11,8.79
Cairo,Egypt,48.36,181.74,95.72,1.04,9.15,79.65,38.31,74.78,6.27,132.66532663316582,Poor,2023,7,12,14.35,9.43
Rio de Janeiro,Brazil,140.81,112.01,92.23,19.31,1.84,162.49,-5.06,21.72,11.02,195.04836670179137,Unhealthy,2023,8,1,16.77,9.36
Berlin,Germany,36.97,174.27,92.31,5.83,6.72,53.04,2.67,19.65,18.08,110.53767676767677,Poor,2023,4,18,12.74,10.2
Dubai,UAE,7.9,176.85,63.2,12.53,4.17,195.52,19.83,66.06,11.92,111.81464646464646,Poor,2023,12,24,15.24,10.32
Dubai,UAE,48.53,58.95,86.86,30.17,3.44,189.93,-5.37,55.04,3.76,133.08391959798996,Poor,2023,10,22,12.55,9.61
Madrid,Spain,56.2,115.21,37.11,18.8,3.22,18.7,7.2,89.72,14.71,151.36143308746048,Unhealthy,2023,10,12,18.8,9.47
Tokyo,Japan,106.97,143.17,49.0,21.1,3.06,184.43,38.23,81.14,15.34,177.57565858798736,Unhealthy,2023,11,17,11.47,10.76
Moscow,Russia,133.99,193.54,49.1,45.92,9.06,132.52,0.34,99.63,16.47,191.52697576396207,Unhealthy,2023,10,23,14.92,9.81
Berlin,Germany,22.05,196.64,59.36,23.47,1.47,178.93,19.26,65.73,2.78,121.60969696969696,Poor,2023,1,10,14.14,8.83
Moscow,Russia,23.26,31.18,72.35,23.0,1.19,47.33,22.75,31.57,18.98,74.46952789699571,Moderate,2023,1,22,14.36,10.98
Toronto,Canada,107.28,50.78,32.19,46.2,7.22,180.13,19.77,35.36,14.9,177.73572181243415,Unhealthy,2023,5,22,15.6,10.43
New York,USA,51.23,197.82,80.38,47.53,1.74,20.81,33.91,63.69,18.45,139.7321608040201,Poor,2023,12,25,15.14,9.77
Mumbai,India,142.55,189.38,7.66,7.98,6.92,56.56,16.42,91.71,5.17,195.9467860906217,Unhealthy,2023,3,13,14.48,10.05
Madrid,Spain,105.74,182.03,44.08,2.95,2.88,35.15,16.07,50.22,16.47,176.9405690200211,Unhealthy,2023,3,15,14.38,10.02
Tokyo,Japan,93.68,59.02,30.01,26.48,4.69,171.34,1.8,55.67,11.77,170.71359325605903,Unhealthy,2023,6,17,14.34,9.85
Istanbul,Turkey,134.62,165.45,83.39,39.7,5.1,41.31,11.75,51.71,2.71,191.8522655426765,Unhealthy,2023,8,28,15.01,8.76
New York,USA,75.67,56.37,94.76,21.73,7.69,133.39,-6.52,10.92,2.91,161.41443624868282,Unhealthy,2023,11,22,13.37,8.96
Berlin,Germany,135.33,46.11,89.69,29.94,9.83,186.39,27.04,95.78,0.85,192.21886195995785,Unhealthy,2023,11,19,13.73,10.82
Rio de Janeiro,Brazil,62.61,194.27,60.84,44.48,1.27,156.38,0.17,30.73,11.0,154.67112750263436,Unhealthy,2023,6,1,13.43,11.22
Rio de Janeiro,Brazil,20.56,19.06,85.27,10.54,3.19,58.93,25.81,91.46,18.5,84.30934782608696,Moderate,2023,7,28,19.26,10.85
Bangkok,Thailand,109.92,158.76,37.26,5.75,5.74,82.29,15.96,86.54,19.14,179.09884088514227,Unhealthy,2023,7,27,14.56,10.49
Berlin,Germany,141.59,176.33,84.38,39.38,1.96,169.19,7.3,11.72,16.31,195.45110642781876,Unhealthy,2023,11,21,13.73,10.82
Berlin,Germany,37.63,141.74,67.32,12.82,5.07,58.86,9.44,77.1,15.91,106.24472361809046,Poor,2023,12,24,15.49,10.71
Johannesburg,South Africa,108.32,153.08,14.25,34.62,6.1,83.46,18.41,20.11,9.27,178.27270811380401,Unhealthy,2023,8,17,14.39,10.06
Tokyo,Japan,122.81,124.47,53.19,21.88,9.94,10.11,18.04,12.19,14.71,185.75437302423603,Unhealthy,2023,2,24,17.43,11.11
Toronto,Canada,13.93,188.98,61.63,6.29,2.55,70.5,3.38,93.85,16.04,117.81838383838384,Poor,2023,1,13,13.87,11.98
Istanbul,Turkey,71.6,168.4,14.88,44.17,5.24,140.11,22.4,77.04,19.8,159.31296101159114,Unhealthy,2023,11,3,16.73,11.19
London,UK,18.87,67.55,29.58,48.67,4.96,80.61,21.13,75.0,4.83,66.91871794871795,Moderate,2023,9,20,18.45,10.68
Dubai,UAE,22.27,20.48,92.96,8.74,3.51,46.73,18.99,36.0,14.83,92.50086956521739,Moderate,2023,9,25,15.79,11.81
Sydney,Australia,21.63,131.64,91.93,25.92,7.8,39.01,-2.21,72.86,4.64,91.40369565217392,Moderate,2023,12,2,12.67,10.42
Bangkok,Thailand,147.95,46.83,30.12,49.26,3.46,111.03,-3.78,53.9,15.74,198.7349841938883,Unhealthy,2023,12,2,14.64,11.4
Istanbul,Turkey,58.33,103.74,27.16,45.17,8.61,100.1,34.87,94.52,9.38,152.46122233930453,Unhealthy,2023,6,12,19.22,9.91
Dubai,UAE,113.57,182.44,98.62,6.65,7.32,59.75,4.67,79.9,9.85,180.98345626975765,Unhealthy,2023,8,14,19.57,10.55
Rio de Janeiro,Brazil,143.17,67.59,34.91,17.05,1.49,158.04,-3.04,98.52,15.61,196.26691253951526,Unhealthy,2023,5,18,16.47,8.77
Rio de Janeiro,Brazil,138.6,95.56,26.64,32.72,4.96,48.36,-1.8,43.02,1.98,193.90727081138039,Unhealthy,2023,8,2,16.77,9.36
Johannesburg,South Africa,95.78,120.41,13.53,2.44,4.76,158.63,8.73,99.86,7.65,171.79789251844048,Unhealthy,2023,8,13,14.39,10.06
Beijing,China,105.15,30.89,27.79,9.66,7.34,123.33,-0.0,26.84,7.27,176.6359325605901,Unhealthy,2023,7,21,13.81,10.01
Sydney,Australia,99.12,100.43,22.45,6.89,2.18,87.89,20.95,98.42,6.51,173.52244467860908,Unhealthy,2023,12,17,12.67,10.42
